transaction_id,bill_no,transaction_date,delivery_date,delivery_lead_time_days,customer_id,customer_pk,customer_code,customer_name,customer_channel,customer_city_prov,product_id,product_pk,product_code,product_name,product_size,category_id,category_name,quantity,selling_price,total_revenue,base_price,gross_profit,margin_percent,payment_type,payment_status,is_credit,is_paid,delivery_status,delivery_vehicle,is_delivered,salesman_name,salesman_id
3ca71272-9663-42ae-955c-75537348fda4,TRX-2026-00023,2026-03-11 00:00:00,2026-03-11,0.0,e80c18c6-93a0-4912-9d1c-4d11df050ce8,e80c18c6-93a0-4912-9d1c-4d11df050ce8,BLPAK033,PAK BAMBANG BANGUNTAPAN,RUMAH_TANGGA,"BANTUL, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,6,11000,66000,5500,33000,50.0,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
cb483f27-3729-4943-86db-1b68aa081443,TRX-2026-00024,2026-03-11 00:00:00,2026-03-11,0.0,e80c18c6-93a0-4912-9d1c-4d11df050ce8,e80c18c6-93a0-4912-9d1c-4d11df050ce8,BLPAK033,PAK BAMBANG BANGUNTAPAN,RUMAH_TANGGA,"BANTUL, DI Yogyakarta",fed83460-45db-4c15-9455-0a144fcd44e9,fed83460-45db-4c15-9455-0a144fcd44e9,CU-120,Cup 120 ML,120 ML,2,Cup,4,14000,56000,10000,16000,28.57142857142857,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
bcdac90d-c0da-47ba-88f1-711426f43a39,TRX-2026-00025,2026-03-11 00:00:00,2026-03-11,0.0,60cfecea-b29b-475a-b6fd-1342ed3a3b2a,60cfecea-b29b-475a-b6fd-1342ed3a3b2a,BRTBM001,TB MORO SENENG,TOKO,"BANTUL, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,2,12000,24000,5500,13000,54.166666666666664,CASH,PAID,False,True,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
341a5d10-44b1-4a12-b850-0027bfe5e27c,TRX-2026-00004,2026-03-11 00:00:00,2026-03-11,0.0,c13c9f24-111f-4a05-8b66-ad41acb2aa20,c13c9f24-111f-4a05-8b66-ad41acb2aa20,BOTOK004,TOKO FAI,TOKO,"Kabupaten Sleman, Daerah Istimewa Yogyakarta",ef3e0902-aa70-4c05-95b7-ddfbf2581efc,ef3e0902-aa70-4c05-95b7-ddfbf2581efc,BO-600,Botol Mineral 600 ML,600 ML,3,Botol,5,32000,160000,28000,20000,12.5,CREDIT,PAID,True,True,DELIVERED,AB 8839 UF,True,LATHIEF NUR S,8614204449232483068
f54f3742-e1e6-4b5a-92e3-a2ba31db5121,TRX-2026-00011,2026-03-11 00:00:00,2026-03-11,0.0,2371f6ef-1fd5-4f0e-84df-8245cd76eca8,2371f6ef-1fd5-4f0e-84df-8245cd76eca8,COMJM001,MJ MART,TOKO,"Kabupaten Sleman, Daerah Istimewa Yogyakarta",fed83460-45db-4c15-9455-0a144fcd44e9,fed83460-45db-4c15-9455-0a144fcd44e9,CU-120,Cup 120 ML,120 ML,2,Cup,10,14000,140000,10000,40000,28.57142857142857,CASH,PAID,False,True,DELIVERED,AB 8839 UF,True,LATHIEF NUR S,8614204449232483068
78b56524-20d9-4545-9145-49706a209dd9,TRX-2026-00031,2026-03-11 00:00:00,2026-03-11,0.0,455cd592-2b4c-4875-a826-34e604b10237,455cd592-2b4c-4875-a826-34e604b10237,BKCVT001,CV TIGA SAUDARAPT TRIO HUTAMA,FACTORY,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,5,8500,42500,5500,15000,35.294117647058826,CREDIT,PENDING,True,False,DELIVERED,AB 8098 PK,True,,66814057316169985
347cfb7e-928c-4b15-ba44-4ed299a85245,TRX-2026-00027,2026-03-11 00:00:00,2026-03-11,0.0,3b8b239d-e8b8-41b9-a928-d3ea28a2ad99,3b8b239d-e8b8-41b9-a928-d3ea28a2ad99,BFAZM002,AZMI BAKERY PLUMBON,BAKERY,"BANTUL, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,9,9000,81000,5500,31500,38.88888888888889,TRANSFER,PENDING,False,False,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
f022cb91-cc06-4fa6-bcb3-4b754cea7f64,TRX-2026-00028,2026-03-11 00:00:00,2026-03-11,0.0,2af42f85-f8a7-44ba-aabc-50e294d5b251,2af42f85-f8a7-44ba-aabc-50e294d5b251,BHESQ001,ESQUE TIMBUL 8 JEC,RESTO_CAFE,"BANTUL, YOGYAKARTA",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,6,5000,30000,5500,-3000,-10.0,CREDIT,PENDING,True,False,PENDING,AB 8098 PK,False,AKHMAD KHOIRUL BARIUSYAFI,6505198126358583090
bfc0e6ad-60b1-489d-88fb-f172cb717042,TRX-2026-00032,2026-03-11 00:00:00,2026-03-11,0.0,c3b42b34-c84a-4aaa-9429-25671a469d33,c3b42b34-c84a-4aaa-9429-25671a469d33,COSAH001,SAHABAT QU,TEMPAT_IBADAH,"Kabupaten Sleman, Daerah Istimewa Yogyakarta",8a0b539b-945a-480f-a8d6-15b316383d4f,8a0b539b-945a-480f-a8d6-15b316383d4f,BO-330,Botol Mineral 330 ML,330 ML,3,Botol,15,30000,450000,25000,75000,16.666666666666664,TRANSFER,PAID,False,True,DELIVERED,AB 8839 UF,True,LATHIEF NUR S,8614204449232483068
87c4c864-02cd-47f6-b1c1-ebb4c99b2eb2,TRX-2026-00033,2026-03-11 00:00:00,2026-03-11,0.0,685adb85-2f88-42a9-841a-1b46a094058b,685adb85-2f88-42a9-841a-1b46a094058b,BKEDE001,EDERA GLOBAL,KURSUS,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,2,8000,16000,5500,5000,31.25,CREDIT,PENDING,True,False,DELIVERED,AB 8098 PK,True,,66814057316169985
3f0630e1-7cfc-4fb7-b471-44914a886d13,TRX-2026-00034,2026-03-11 00:00:00,2026-03-11,0.0,8296062c-ba4b-4513-ba2b-1ef3ce3af7ca,8296062c-ba4b-4513-ba2b-1ef3ce3af7ca,BFPEC001,PECEL LELE USNI,LAINNYA,", ",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,10,10000,100000,5500,45000,45.0,CASH,PAID,False,True,DELIVERED,AB 8098 PK,True,,66814057316169985
48f7ea16-084e-4c61-91b7-57b52d0c86ed,TRX-2026-00039,2026-03-11 00:00:00,2026-03-11,0.0,0b151fe4-5683-4360-b67d-082132963589,0b151fe4-5683-4360-b67d-082132963589,BKRSU002,RSU MITRA PARAMEDIKA GIZI,RUMAH_SAKIT,"SLEMAN, DI Yogyakarta",fed83460-45db-4c15-9455-0a144fcd44e9,fed83460-45db-4c15-9455-0a144fcd44e9,CU-120,Cup 120 ML,120 ML,2,Cup,5,14000,70000,10000,20000,28.57142857142857,CASH,PAID,False,True,DELIVERED,AB 8098 PK,True,,66814057316169985
e155bf4b-e589-4c5d-b51f-704f75594342,TRX-2026-00040,2026-03-11 00:00:00,2026-03-11,0.0,5b470d58-b124-4823-a114-76bf11c3e422,5b470d58-b124-4823-a114-76bf11c3e422,BLSAB001,SABIN BY SEKEN LIVING,RESTORAN,"SLEMAN, DI Yogyakarta",859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,859ce3a9-14d2-4e7e-ac78-2e2ccf13bc09,GA-19,Galon 19 Liter,19 Liter,1,Galon,9,8000,72000,5500,22500,31.25,CREDIT,PENDING,True,False,DELIVERED,AB 8098 PK,True,,66814057316169985
